species,country,site,hour,sampling,value
Homo sapiens,Papua New Guineea,Mugil,16:00,IND,0
Homo sapiens,Papua New Guineea,Mugil,17:00,IND,0
Homo sapiens,Papua New Guineea,Mugil,18:00,IND,0.17
Homo sapiens,Papua New Guineea,Mugil,19:00,IND,0.58
Homo sapiens,Papua New Guineea,Mugil,20:00,IND,0.89
Homo sapiens,Papua New Guineea,Mugil,21:00,IND,0.97
Homo sapiens,Papua New Guineea,Mugil,22:00,IND,1
Homo sapiens,Papua New Guineea,Mugil,23:00,IND,1
Homo sapiens,Papua New Guineea,Mugil,00:00,IND,1
Homo sapiens,Papua New Guineea,Mugil,01:00,IND,1
Homo sapiens,Papua New Guineea,Mugil,02:00,IND,1
Homo sapiens,Papua New Guineea,Mugil,03:00,IND,1
Homo sapiens,Papua New Guineea,Mugil,04:00,IND,1
Homo sapiens,Papua New Guineea,Mugil,05:00,IND,1
Homo sapiens,Papua New Guineea,Mugil,06:00,IND,0
Homo sapiens,Papua New Guineea,Mugil,07:00,IND,0
Homo sapiens,Papua New Guineea,Mugil,16:00,BED,0
Homo sapiens,Papua New Guineea,Mugil,17:00,BED,0
Homo sapiens,Papua New Guineea,Mugil,18:00,BED,0.17
Homo sapiens,Papua New Guineea,Mugil,19:00,BED,0.56
Homo sapiens,Papua New Guineea,Mugil,20:00,BED,0.86
Homo sapiens,Papua New Guineea,Mugil,21:00,BED,0.93
Homo sapiens,Papua New Guineea,Mugil,22:00,BED,0.96
Homo sapiens,Papua New Guineea,Mugil,23:00,BED,0.96
Homo sapiens,Papua New Guineea,Mugil,00:00,BED,0.96
Homo sapiens,Papua New Guineea,Mugil,01:00,BED,0.96
Homo sapiens,Papua New Guineea,Mugil,02:00,BED,0.96
Homo sapiens,Papua New Guineea,Mugil,03:00,BED,0.96
Homo sapiens,Papua New Guineea,Mugil,04:00,BED,0.96
Homo sapiens,Papua New Guineea,Mugil,05:00,BED,0.96
Homo sapiens,Papua New Guineea,Mugil,06:00,BED,0
Homo sapiens,Papua New Guineea,Mugil,07:00,BED,0
